No,FI10501J.PV,FI10301J.PV,PI10105.PV,PI10103.PV,TI10101.PV,TI10103.PV,PI10101.PV,PIP101A1.PV,PIP101B1.PV,WIP101A.PV,WIP101B.PV,EIP101A.PV,EIP101B.PV,FIC10101.PV,FIC10101.OP,FIC10101.SP,LIC10101.PV,LIC10101.OP,LIC10101.SP,VX1YHQ.OP,VX2YHQ.OP,VX9D101.OP,VX2D101.OP,VX1P101.OP,PSV10101AB.OP,DS_P101.OP,XL_P101.OP,label
121,60.666781,0,1.905492,0,38.016729,25.02262,0.803088,2.84471,0,89.115323,0,14.852196,0,60.538912,33.78177,60.595293,49.956123,33.664052,50,27,0,0,0,0,0,0,0,0
122,60.822741,0,1.909305,0,38.114166,24.960713,0.801125,2.852875,0,88.890173,0,14.809341,0,60.848479,33.585899,60.488172,49.926733,33.60454,50,27,0,0,0,0,0,0,0,0
123,60.630327,0,1.898899,0,38.121247,25.013963,0.802119,2.852791,0,89.105459,0,14.907984,0,61.009683,33.694046,60.900018,50.040931,33.833343,50,27,0,0,0,0,0,0,0,0
124,60.458308,0,1.895132,0,38.019147,25.191187,0.801347,2.829892,0,89.364104,0,14.768361,0,60.621895,33.634745,60.393996,49.900865,33.55222,50,27,0,0,0,0,0,0,0,0
125,61.000449,0,1.903878,0,38.112619,25.092988,0.799562,2.839885,0,88.883786,0,14.931367,0,60.449456,33.959018,60.919815,50.046692,33.844342,50,27,0,0,0,0,0,0,0,0
126,60.734567,0,1.898493,0,38.047845,24.90343,0.796086,2.850494,0,89.141092,0,14.861198,0,60.876242,33.700657,60.772222,50.005666,33.762346,50,27,0,0,0,0,0,0,0,0
127,60.851987,0,1.899021,0,37.855841,24.981641,0.794527,2.852747,0,89.057569,0,14.801035,0,60.383817,33.953811,60.820295,50.018925,33.789053,50,27,0,0,0,0,0,0,0,0
128,60.464744,0,1.896419,0,37.966597,24.972226,0.7994,2.841422,0,88.904005,0,14.897425,0,60.604102,33.887362,60.873133,50.033435,33.818407,50,27,0,0,0,0,0,0,0,0
129,60.863907,0,1.902205,0,37.994355,24.996278,0.802184,2.846907,0,89.059172,0,14.844452,0,60.663496,33.790077,60.710504,49.988318,33.728058,50,27,0,0,0,0,0,0,0,0
130,60.667744,0,1.899933,0,38.137978,24.98528,0.799952,2.847801,0,89.37221,0,14.918026,0,60.868465,33.734781,60.795895,50.011978,33.775497,50,27,0,0,0,0,0,0,0,0
131,60.762143,0,1.908997,0,38.061739,25.0027,0.797949,2.838644,0,89.042417,0,14.950437,0,60.593802,34.01698,61.121031,50.101785,33.956128,50,27,0,0,0,0,0,0,0,0
