No,FI10501J.PV,FI10301J.PV,PI10105.PV,PI10103.PV,TI10101.PV,TI10103.PV,PI10101.PV,PIP101A1.PV,PIP101B1.PV,WIP101A.PV,WIP101B.PV,EIP101A.PV,EIP101B.PV,FIC10101.PV,FIC10101.OP,FIC10101.SP,LIC10101.PV,LIC10101.OP,LIC10101.SP,VX1YHQ.OP,VX2YHQ.OP,VX9D101.OP,VX2D101.OP,VX1P101.OP,PSV10101AB.OP,DS_P101.OP,XL_P101.OP,label
1999,60.439532,0.0,1.895299,0.0,37.841473,24.976017,0.797928,2.855702,0.0,89.357821,0.0,14.826596,0.0,60.724483,33.981773,61.125847,50.099252,33.958804,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2000,60.619683,0.0,1.898669,0.0,38.04183,24.973968,0.806167,2.850369,0.0,89.528801,0.0,14.861165,0.0,61.180563,33.522524,60.588115,49.950131,33.660064,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2001,60.955514,0.0,1.899898,0.0,37.821479,25.01674,0.799463,2.862117,0.0,89.475863,0.0,14.863267,0.0,60.910174,33.928442,61.210986,50.122539,34.006104,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2002,60.909647,0.0,1.910266,0.0,38.16139,25.029559,0.79981,2.863101,0.0,89.580844,0.0,14.963372,0.0,60.633155,33.998586,61.063128,50.081061,33.92396,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2003,60.352139,0.0,1.893799,0.0,37.96208,25.108404,0.805969,2.842206,0.0,88.817102,0.0,14.873621,0.0,60.928666,33.791483,60.894907,50.034162,33.830504,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2004,61.042846,0.0,1.898005,0.0,38.187881,24.895108,0.799623,2.847016,0.0,89.346542,0.0,14.89877,0.0,61.463626,33.398342,60.602695,49.953226,33.668164,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2005,60.933998,0.0,1.894652,0.0,37.827134,25.066561,0.798968,2.855481,0.0,89.324435,0.0,14.876404,0.0,61.353507,33.334365,60.411432,49.900595,33.561907,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006,60.969947,0.0,1.899052,0.0,38.022107,24.947591,0.801287,2.846965,0.0,88.552716,0.0,14.852959,0.0,60.464695,33.907638,60.790748,50.005931,33.772638,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2007,60.999607,0.0,1.896338,0.0,37.932146,24.999494,0.799097,2.838661,0.0,89.009403,0.0,14.765712,0.0,60.63938,34.039708,61.22364,50.125551,34.013133,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2008,60.667523,0.0,1.899519,0.0,37.937801,25.091944,0.799019,2.847873,0.0,89.051081,0.0,14.793253,0.0,60.65508,33.772986,60.640206,49.963667,33.689003,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2009,60.438661,0.0,1.903808,0.0,37.880304,24.959199,0.798887,2.831823,0.0,88.817607,0.0,14.840226,0.0,60.829362,33.703433,60.668705,49.971725,33.704836,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
